UR532,21168,0.152
UR147,60669,0.944
UR762,30886,0.483
UR742,26813,0.33
UR767,76218,0.61
PALMA,30,0.023
UR765,53698,0.591
UR152,34390,0.666
UR565,45508,0.32
UR752,28895,0.388
UR735,34603,0.437
UR545,31663,0.276
UR552,23738,0.226
UR737,41192,0.551
UR555,37492,0.289
UR145,43285,0.814
UR757,60026,0.569
UR537,33237,0.276
UR157,74796,0.957
UR547,40461,0.312
UR745,35463,0.503
UR747,51282,0.539
UR155,52615,0.924
UR755,45119,0.65
UR732,26348,0.271
UR562,27064,0.253
UR142,31442,0.602
UR542,20722,0.187
UR557,50552,0.306
UR135,38901,0.777
UR132,28612,0.39
UR162,37219,0.792
UR167,85403,1.058
UR567,61102,0.356
UR535,26968,0.242
UR137,49054,0.892
UR165,62453,1.018
